filename, masterpiece, nograffiti, tags, throwups
sf-truck-ulcer_4190764851_o_jpg.rf.d03c8bab3992f9b013faa344781fb6d4.jpg, 0, 0, 0, 1
IMG_7386_JPG.rf.d0db3c885b61eeaf3662c6cabae07755.jpg, 1, 0, 0, 0
IMG_7351_jpeg.rf.d09ad5b959d9c34c3a8980aaad954cd9.jpg, 0, 0, 1, 0
105_0563_1590346473_o_jpg.rf.d0523f96307e126826d25de12843d584.jpg, 0, 0, 1, 0
IMG_6182_jpeg.rf.d0d6aad0e35597a9ca0e4fa929194aef.jpg, 1, 0, 0, 0
closed-4438_jpg.rf.ce3c5488799dc07acd2a2c381b47d393.jpg, 0, 1, 0, 0
closed-3654_jpg.rf.d105697400c7787aef2d5774e0a631cd.jpg, 0, 1, 0, 0
IMG_4034_JPG.rf.ce65080c140b173cac73590f2f346de1.jpg, 0, 0, 0, 1
closed-5600_jpg.rf.d15830f8da8c83b6e0920e172be647b8.jpg, 0, 1, 0, 0
IMG_7325_jpeg.rf.d14d03db4101a9bd2e26f70403f8106f.jpg, 1, 0, 0, 0
closed-5880_jpg.rf.ce540581e63647785f480aa86693dbb8.jpg, 0, 1, 0, 0
sub2001_jpg.rf.cef97f2b01fe539a9a26e41a1b103c3e.jpg, 1, 0, 0, 0
IMG_9024_jpeg.rf.cea3e928fc7a48f7979d049361f271aa.jpg, 1, 0, 0, 0
IMG_7694_JPG.rf.d0c03b7061385a08cfdd2451afa652f6.jpg, 0, 0, 0, 1
IMG_3996-2_JPG.rf.d01c73c94c6bf723f75a3e30057aab05.jpg, 0, 0, 0, 1
closed-448_jpg.rf.cf60af280c9d267cee8959fc5567d2a7.jpg, 0, 1, 0, 0
IMG_7308_jpeg.rf.d10f4f32039f456eb5172acc29c65750.jpg, 0, 0, 1, 0
972C1F8A-9176-48A4-919A-9B85F65544AC_jpg.rf.ce8b42b664ddef16902bba84997f441e.jpg, 0, 0, 1, 0
closed-2821_jpg.rf.cf3680c4d9ae5077cdb334e6a5ec1eae.jpg, 0, 1, 0, 0
IMG_2885_jpeg.rf.cfb0ae517c5ad0a2c589ef010d6e8e25.jpg, 0, 0, 1, 0
closed-4795_jpg.rf.d174050399764af7bb52c8b243ce937c.jpg, 0, 1, 0, 0
IMG_1154-2_JPG.rf.d1d6bf1e393e7c8f5144f82fec0780a1.jpg, 0, 0, 1, 0
closed-7294_jpg.rf.d1e5ed48c6172813034671fe91ebb4c9.jpg, 0, 1, 0, 0
IMG_7331_jpeg.rf.d173de3991cd43a55d66918e596d433e.jpg, 1, 0, 0, 0
closed-4634_jpg.rf.d127ffbad8f528dad67dba9957af0c3d.jpg, 0, 1, 0, 0
IMG_7341_jpeg.rf.d2c92bce11408fcd3ffabeaaaae53f96.jpg, 1, 0, 0, 0
closed-4025_jpg.rf.d2b58128a3b0beba593fa904a12377f9.jpg, 0, 1, 0, 0
IMG_5946_JPG.rf.d2d809e7e46a54df5821f708b245720e.jpg, 1, 0, 0, 0
closed-6979_jpg.rf.d215b7953e7e34e4363b866188265efd.jpg, 0, 1, 0, 0
closed-560_jpg.rf.d2e9cb97d8d90ad0a73e5ab7da409c1a.jpg, 0, 1, 0, 0
IMG_4414_jpeg.rf.d3ee8a803f4f95980a0db7d16ad2ba0e.jpg, 1, 0, 0, 0
closed-4690_jpg.rf.d47d5a48f263346240124ebef4fb6db1.jpg, 0, 1, 0, 0
IMG_9968_JPG.rf.d3f0059f119db6909c3855d9ea9f6d8f.jpg, 0, 0, 1, 0
IMG_6282_jpeg.rf.d49ae5343d94cdb1969b0953bc6e8c73.jpg, 0, 0, 1, 0
IMG_7294_jpeg.rf.d389f80619049916b076f20c631c2df6.jpg, 0, 0, 1, 0
sf-truck-ulcer_4190764851_o_jpg.rf.d52b48ce4bc05d442bd5dd480ac69398.jpg, 0, 0, 0, 1
IMG_4534_jpeg.rf.d42ac119a9f8e13bec74dca86156891d.jpg, 1, 0, 0, 0
closed-504_jpg.rf.d46ac14484b07e90559577ea27a8442d.jpg, 0, 1, 0, 0
IMG_0469_jpeg.rf.d366ebe187c8eb80b6af16ec00ac9150.jpg, 0, 0, 1, 0
katsu-rambo_1590344035_o_jpg.rf.d49d51c0525e5449550ff3faf28b0842.jpg, 0, 0, 0, 1
IMG_4921_jpeg.rf.d5dee09baa3891cd06f0eb0e5ab19bfb.jpg, 0, 0, 1, 0
IMG_4532_jpeg.rf.d67bf88cd3f3e4ab9817389c47c49efa.jpg, 1, 0, 0, 0
IMG_9737_jpeg.rf.d43c752648c5302e63e3e24fcb297c91.jpg, 1, 0, 0, 0
closed-6608_jpg.rf.d61aca3c70a15b2a6c403047514c6d24.jpg, 0, 1, 0, 0
IMG_8359_JPG.rf.d5e7f10378ce8034cd741197db3e4690.jpg, 0, 0, 0, 1
IMG_4833_JPG.rf.d61f073b798a9fac1d05601ee0a1795d.jpg, 0, 0, 0, 1
IMG_7338_jpeg.rf.d67b2a3fd4e9e3ca4593da1cbb17a0d3.jpg, 1, 0, 0, 0
IMG_6185_jpeg.rf.d6da1450c419e613e0a760b042e95a57.jpg, 1, 0, 0, 0
IMG_7320_jpeg.rf.d6acef685cfadce9f6995873a134572d.jpg, 1, 0, 0, 0
IMG_4422_jpeg.rf.d6123e2d3709c570ddb622e173d0bbda.jpg, 1, 0, 0, 0
closed-5964_jpg.rf.d5fc9db26a57dc6a8cad324f6245e529.jpg, 0, 1, 0, 0
closed-6797_jpg.rf.d69163ca5c6af9bfd8a055f21a417b89.jpg, 0, 1, 0, 0
IMG_4422_jpeg.rf.d58035693931b7af979ba9eb8f8e6402.jpg, 1, 0, 0, 0
closed-6377_jpg.rf.d7053e5815f645d43449d030df1c208f.jpg, 0, 1, 0, 0
